OBJECTID,FeatureKey,LayerKey,DistributionType,LayerGroupKey,LayerName,MetadataKey,PortalUrl,ObjectReferences,SpeciesDepthMaximum,Alert,SpeciesCode,AccuracyExplanation,SpeciesCommonName,ScientificContact,SpeciesScientificName,ObjectSecurity,SpeciesMaoriName,TemporalExtent,Keywords,ObjectName,PositionalAccuracy,AlertWarning,EndangeredStatus,SpeciesDepthMinimum,SpeciesGroup,HabitatType,LayerIdentifier,Hotspotid,SpeciesDepthMean,SHAPESTArea,SHAPESTLength
224,4630,233,5,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,,,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0603_1,,,13469221106.2422,1031174.32909013
963,7775,234,4,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Not exist,,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0604_2,,,11477525504145.5,18340825.9554019
1659,7774,232,3,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Full Range 100%,,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0602_2,,,164444853663.338,6536590.12922139
2577,6134,231,2,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Normal Range 90%,Gisborne coast,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0601_1,,,4382826014.85156,393326.613191264
2615,4628,231,2,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Normal Range 90%,West coast South Island,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0601_1,,,14951064874.2285,925481.380078369
2673,4629,231,2,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Normal Range 90%,,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0601_1,,,53942321324.4238,2602179.41635387
3192,7771,230,1,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Hotspot,Te Waewae Bay,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0600_2,,,2264909874.41602,220317.504964175
3577,7772,230,1,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Hotspot,Pegasus Bay,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0600_2,,,3034191085.59961,237928.730181332
3592,7773,230,1,3832,Elephant Fish - Annual Distribution,361,https://mpi.maps.arcgis.com/home/item.html?id=27cfaef762e74ca3a174468b6682a644,,186 m,N,ELE,The mapped object is a scientific interpretation of data and is considered accurate to ± 15%,Elephant Fish,"General Manager, Biodiversity, Biosecurity and Information Systems, NIWA, Private Bag 14901, Wellington. 04 386 0300",Callorhinchus milii Bory de St Vincent 1823,None,Makorepe,Annual,Hotspot,Canterbury Bight,100 km,None,Not threatened,0 m,Elephant Fish,Demersal inshore,FD0600_2,,,10681600950.1211,669348.086656785
